EventType: OnAppLoad EventDate: 9/28/2020 5:05:45 PM AdditionalInfo:  
EventType: OnAppLoad EventDate: 9/28/2020 5:05:55 PM AdditionalInfo:  
EventType: Tension EventDate: 9/28/2020 5:05:56 PM AdditionalInfo: 100 
EventType: Tension EventDate: 9/28/2020 5:05:56 PM AdditionalInfo: 100 
EventType: Tension EventDate: 9/28/2020 5:05:56 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 9/28/2020 5:05:56 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 9/28/2020 5:05:59 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 9/28/2020 5:05:59 PM AdditionalInfo: 0.01561264 
EventType: Intensity EventDate: 9/28/2020 5:05:59 PM AdditionalInfo: 0.03122528 
EventType: Intensity EventDate: 9/28/2020 5:05:59 PM AdditionalInfo: 0.04683792 
EventType: Intensity EventDate: 9/28/2020 5:05:59 PM AdditionalInfo: 0.06245056 
EventType: Intensity EventDate: 9/28/2020 5:05:59 PM AdditionalInfo: 0.0780632 
EventType: Intensity EventDate: 9/28/2020 5:06:00 PM AdditionalInfo: 0.09367584 
EventType: Intensity EventDate: 9/28/2020 5:06:00 PM AdditionalInfo: 0.0780632 
EventType: Intensity EventDate: 9/28/2020 5:06:00 PM AdditionalInfo: 0.06245056 
EventType: Intensity EventDate: 9/28/2020 5:06:00 PM AdditionalInfo: 0.04683792 
EventType: Intensity EventDate: 9/28/2020 5:06:00 PM AdditionalInfo: 0.03122528 
EventType: Intensity EventDate: 9/28/2020 5:06:00 PM AdditionalInfo: 0.01561264 
EventType: Intensity EventDate: 9/28/2020 5:06:00 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 92 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 90 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 92 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 86 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 77 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 67 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 61 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 60 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 58 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 54 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 52 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 50 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 46 
EventType: Rotation EventDate: 9/28/2020 5:06:01 PM AdditionalInfo: 42 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 38 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 36 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 34 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 40 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 42 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 40 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 36 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 6 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 0 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 2 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 34 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 44 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 52 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 63 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 71 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 77 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 79 
EventType: Rotation EventDate: 9/28/2020 5:06:02 PM AdditionalInfo: 85 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 94 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 104 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 106 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 110 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 115 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 121 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 129 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 135 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 138 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 142 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 146 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 152 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 154 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 158 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 162 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 167 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 175 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 181 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 188 
EventType: Rotation EventDate: 9/28/2020 5:06:03 PM AdditionalInfo: 202 
