EventType: OnAppLoad EventDate: 03/11/2020 12:51:29 AdditionalInfo: Android 
EventType: TrackingTarget EventDate: 03/11/2020 12:51:30 AdditionalInfo: TrackingLost! TargetID:CR Image target: True 
EventType: TrackingTarget EventDate: 03/11/2020 12:51:30 AdditionalInfo: TrackingFound! TargetID: CR Image target: True 
EventType: Rotation EventDate: 03/11/2020 12:51:34 AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 03/11/2020 12:51:34 AdditionalInfo: CR0 
EventType: Intensity EventDate: 03/11/2020 12:51:34 AdditionalInfo: 3 
EventType: AchivementUnlocked EventDate: 03/11/2020 12:51:37 AdditionalInfo: CR1 
EventType: Rotation EventDate: 03/11/2020 12:51:37 AdditionalInfo: 0 
EventType: AchivementUnlocked EventDate: 03/11/2020 12:51:39 AdditionalInfo: CR2 
EventType: Rotation EventDate: 03/11/2020 12:51:39 AdditionalInfo: 90 
EventType: Rotation EventDate: 03/11/2020 12:51:56 AdditionalInfo: 91 
EventType: Rotation EventDate: 03/11/2020 12:51:57 AdditionalInfo: 90 
EventType: Rotation EventDate: 03/11/2020 12:52:00 AdditionalInfo: 91 
EventType: Rotation EventDate: 03/11/2020 12:52:06 AdditionalInfo: 90 
EventType: Rotation EventDate: 03/11/2020 12:52:07 AdditionalInfo: 89 
EventType: Rotation EventDate: 03/11/2020 12:52:08 AdditionalInfo: 90 
EventType: Rotation EventDate: 03/11/2020 12:52:10 AdditionalInfo: 91 
EventType: Rotation EventDate: 03/11/2020 12:52:11 AdditionalInfo: 92 
EventType: Rotation EventDate: 03/11/2020 12:52:12 AdditionalInfo: 93 
EventType: Rotation EventDate: 03/11/2020 12:52:12 AdditionalInfo: 94 
EventType: Rotation EventDate: 03/11/2020 12:52:14 AdditionalInfo: 90 
EventType: Intensity EventDate: 03/11/2020 12:52:16 AdditionalInfo: 2,8 
EventType: Intensity EventDate: 03/11/2020 12:52:16 AdditionalInfo: 2,6 
EventType: Intensity EventDate: 03/11/2020 12:52:16 AdditionalInfo: 2,4 
EventType: Intensity EventDate: 03/11/2020 12:52:17 AdditionalInfo: 2,2 
EventType: AchivementUnlocked EventDate: 03/11/2020 12:52:17 AdditionalInfo: CR3 
EventType: Intensity EventDate: 03/11/2020 12:52:17 AdditionalInfo: 2 
EventType: Intensity EventDate: 03/11/2020 12:52:17 AdditionalInfo: 1,8 
EventType: Intensity EventDate: 03/11/2020 12:52:17 AdditionalInfo: 1,6 
EventType: Intensity EventDate: 03/11/2020 12:52:17 AdditionalInfo: 1,4 
EventType: Intensity EventDate: 03/11/2020 12:52:17 AdditionalInfo: 1,2 
EventType: Intensity EventDate: 03/11/2020 12:52:18 AdditionalInfo: 0,9999996 
EventType: Intensity EventDate: 03/11/2020 12:52:18 AdditionalInfo: 0,7999996 
EventType: Intensity EventDate: 03/11/2020 12:52:18 AdditionalInfo: 0,5999996 
EventType: Intensity EventDate: 03/11/2020 12:52:18 AdditionalInfo: 0,3999996 
EventType: Intensity EventDate: 03/11/2020 12:52:18 AdditionalInfo: 0,1999996 
EventType: Warning EventDate: 03/11/2020 12:52:19 AdditionalInfo:  
EventType: Intensity EventDate: 03/11/2020 12:52:19 AdditionalInfo: 0 
EventType: Intensity EventDate: 03/11/2020 12:52:19 AdditionalInfo: 0,2 
EventType: Intensity EventDate: 03/11/2020 12:52:20 AdditionalInfo: 0,4 
EventType: Intensity EventDate: 03/11/2020 12:52:20 AdditionalInfo: 0,6 
EventType: Intensity EventDate: 03/11/2020 12:52:20 AdditionalInfo: 0,8 
EventType: Intensity EventDate: 03/11/2020 12:52:20 AdditionalInfo: 1 
EventType: Intensity EventDate: 03/11/2020 12:52:20 AdditionalInfo: 1,2 
EventType: Intensity EventDate: 03/11/2020 12:52:20 AdditionalInfo: 1,4 
EventType: Intensity EventDate: 03/11/2020 12:52:21 AdditionalInfo: 1,6 
EventType: Intensity EventDate: 03/11/2020 12:52:21 AdditionalInfo: 1,8 
EventType: Intensity EventDate: 03/11/2020 12:52:21 AdditionalInfo: 2 
EventType: Intensity EventDate: 03/11/2020 12:52:21 AdditionalInfo: 2,2 
EventType: Intensity EventDate: 03/11/2020 12:52:21 AdditionalInfo: 2,4 
EventType: Intensity EventDate: 03/11/2020 12:52:22 AdditionalInfo: 2,6 
EventType: Intensity EventDate: 03/11/2020 12:52:22 AdditionalInfo: 2,8 
EventType: Warning EventDate: 03/11/2020 12:52:22 AdditionalInfo:  
EventType: Intensity EventDate: 03/11/2020 12:52:22 AdditionalInfo: 3 
EventType: Intensity EventDate: 03/11/2020 12:52:23 AdditionalInfo: 2,8 
EventType: Intensity EventDate: 03/11/2020 12:52:23 AdditionalInfo: 2,6 
EventType: Intensity EventDate: 03/11/2020 12:52:23 AdditionalInfo: 2,4 
EventType: Intensity EventDate: 03/11/2020 12:52:25 AdditionalInfo: 2,2 
EventType: Intensity EventDate: 03/11/2020 12:52:25 AdditionalInfo: 2 
EventType: Intensity EventDate: 03/11/2020 12:52:26 AdditionalInfo: 1,8 
EventType: Intensity EventDate: 03/11/2020 12:52:27 AdditionalInfo: 2 
EventType: Intensity EventDate: 03/11/2020 12:52:33 AdditionalInfo: 0,2 
EventType: Intensity EventDate: 03/11/2020 12:52:35 AdditionalInfo: 0 
EventType: Intensity EventDate: 03/11/2020 12:52:36 AdditionalInfo: 0,2 
